issue_no,repo,issue_url,title,description,patched_file_types
353,silver,https://github.com/silverapp/silver/issues/353,Payment method for wrong customer,http://127.0.0.1:8000/customers/1/payment_methods/3/ Works even though the payment method is not linked with that specific customer.,other-file | config-file | container-file | data-file | source-file
384,silver,https://github.com/silverapp/silver/issues/384,Creating a payment method without a given state through the api fails.,"{u'non_field_errors': [u""'state' must initially be one of (uninitialized, unverified, enabled).""]}",source-file
469,silver,https://github.com/silverapp/silver/issues/469,Payment_methods GET should return expanded payment_processor,,source-file
204,silver,https://github.com/silverapp/silver/issues/204,Wrong invoiced data,"One instance got created on May 7-th ( viralrocks.trypl.com ) and on the invoice appeared the bucket for the 15 days free trial, one line with + one line with minus for the period 7-21-st may, then it only invoiced the subscription for June, skipping to invoice the period for 21-31-st may which costs us money",source-file | test-file
196,silver,https://github.com/silverapp/silver/issues/196,Strange characters block editing of subscriptions,"We had a customer with a strange name including letter """" when we tried editing his subscription we received i thing a 404 or a 504 i cannot remember. I've changed the name into 'a' and then it worked.",source-file
228,silver,https://github.com/silverapp/silver/issues/228,Lines 640-671 from models.py are not correct,Case: https://billing.presslabs.com/silver/proforma/179/ -- was generated incorrectly. The value of the prorated subscription after trial was added two times.,source-file | config-file | test-file
104,silver,https://github.com/silverapp/silver/issues/104,When creating a subscription the customer should be taken from URL,"Subscriptions have endpoint in the form: `customers/:id/subscriptions`. So, when creating a subscription, the customer must match the one in the URL and it shouldn't be settable through POST data.",source-file
105,silver,https://github.com/silverapp/silver/issues/105,Subscriptions should expose the subscription_id,The subscription serializer should expose the subscription ID.,source-file
289,silver,https://github.com/silverapp/silver/issues/289,Error deleting proforma,Sometimes deleting proformas gives server error 500,other-file | source-file | test-file
203,silver,https://github.com/silverapp/silver/issues/203,Wrong data in invoices/proforma when subscription is canceled,"So in the middle of the month the customer decides to move. We cancel the subscription in billing and the expected result is that the new billing cycle invoice to have only the extra pageviews included on it and no more full month subscription. Well, the Billing subscription moved to ended, but the current month subscription package got invoiced wrongly on top of the expected extra pageviews.",source-file | test-file
161,silver,https://github.com/silverapp/silver/issues/161,Invoice entry end date should be the end of cycle,Billing entry `end_date` should be something like `2015-03-31` instead of `2015-04-01`,source-file
