Defect Type,Sub Defect Type,#Defects
"Authentication, Authorization, and Session Management Issues (T3)",Authentication and Token Management Errors,34
"Authentication, Authorization, and Session Management Issues (T3)","Session, Token, and Account Lifecycle Management Errors",28
Configuration and Environment Issues (T1),Container and Resource Quota Handling Errors,9
Configuration and Environment Issues (T1),Environment-Specific Behavior and Configuration Bugs,130
Configuration and Environment Issues (T1),Job Execution and Workflow Configuration Defects,25
"Data Storage, Access, and Volume Errors (T5)",Database/Table User Access Handling Errors,20
"Data Storage, Access, and Volume Errors (T5)",Volume and File Upload/Access Errors,42
Data Validation and Query Processing Errors (T2),Query Filter and Search Parameter Handling Errors,118
Data Validation and Query Processing Errors (T2),Schema and Payload Validation Errors in POST APIs,135
Distributed Systems and Clustering Failures (T6),Index and Cluster Coordination Failures,5
"Integration, Middleware, and Runtime Environment Failures (T4)",Middleware Integration Failures in REST APIs,39
"Integration, Middleware, and Runtime Environment Failures (T4)",Process Signal and Grouping Issues in Containerized APIs,3
"Integration, Middleware, and Runtime Environment Failures (T4)",Runtime and Dependency Errors,19
