defect_type,count,min,max,mean,stdev
Index and Cluster Coordination Failures,5,6,1672,398.8,718.64
"Session, Token, and Account Lifecycle Management Errors",28,0,2788,175.82,527.48
Authentication and Token Management Errors,34,0,1141,103.12,226.32
Query Filter and Search Parameter Handling Errors,118,0,1185,99.48,202.02
Middleware Integration Failures in REST APIs,38,0,1684,95.21,295.94
Runtime and Dependency Errors,19,0,988,90.05,226.41
Environment-Specific Behavior and Configuration Bugs,129,0,1690,88.88,248.61
Schema and Payload Validation Errors in POST APIs,134,0,1451,62.5,172.41
Volume and File Upload/Access Errors,42,0,553,49.6,101.39
Job Execution and Workflow Configuration Defects,25,0,189,42.64,64.63
Process Signal and Grouping Issues in Containerized APIs,3,0,98,34.33,55.19
Database/Table User Access Handling Errors,20,0,235,21.75,52.81
Container and Resource Quota Handling Errors,9,0,58,13.33,19.51
